Mean,,Variance
0.9985291842,,6.49E+11
0.9792089912,,5719131747
0.0000002467641682,,90248270982
0.9875861189,,0
0.6508306398,,1.49E+11
0.8988279649,,97782292220
0.09905099645,,1.19E+13
0.9739615849,,6.27E+12
0.9927161283,,1.81E+12
0,,0
0,,0
0.05855403279,,68359146959
0.0000000112074674,,0
0.9962905817,,0
0.3428948905,,1.14E+11
0.4577268745,,0
0.8422017785,,3.64E+11
0.9926661389,,0
0.1790712242,,2.94E+12
0.9824069288,,0
0.9967032507,,4.17E+12
0.6131751671,,0
0.9930845654,,2.69E+11
0.3756577841,,0
0.3908578103,,4.74E+11
0.0009270388367,,1.05E+11
0.004139020574,,5.78E+12
0.999999242,,0
0.9544590248,,4.10E+11
0.8894517478,,3.32E+12
0.07052135556,,1.53E+12
0.9673159606,,0
0.0001908209988,,5.05E+11
0.7136126443,,64028900293
0,,1.58E+11
0,,0
0.9777269255,,0
0.002240969383,,9.29E+12
0.8996621002,,2.09E+11
0.9750076027,,32372399249
0.9926432084,,0
0.9817302021,,0
0.9974519927,,5.96E+11
0.9905224184,,13312079959
0.9923128759,,1.47E+11
0.9966420672,,2.23E+11
0.04832711359,,1.02E+11
0.9543624955,,76392515041
0.9981347542,,0
0.9808159608,,52095406490
0.9144105546,,8.80E+11
0.9900347405,,1.18E+11
0.9961275199,,6.05E+11
0.9931378307,,0
0.9923682277,,6031479947
0.9701990957,,1.46E+12
0.003543579505,,2.49E+11
0.9950530263,,1.17E+11
0.9995156505,,59667706047
0.9227643711,,6.18E+11
0.9698198689,,41342900920
0.9999991837,,3.57E+11
0.9975964566,,21072739024
0.9921426195,,67947585294
0.861670596,,7861461198
0.9285207052,,5.75E+11
0.9927532322,,2.17E+11
0.9943227227,,8.28E+11
0.2360396042,,2.52E+11
0.9813473897,,1.24E+12
0.8774326629,,0
0.9233123117,,0
0.8847315849,,9550961487
0.3851156277,,1.33E+12
0.8179924973,,9.88E+11
0.8777137219,,0
0.9665227707,,7.10E+11
0.5314664183,,2547776100
0.982136774,,0
0.5973605148,,0
0.8973929087,,0
0.4034530529,,0
0.9973248617,,1.17E+11
0.2536347676,,2.23E+11
0.9980699893,,0
0.5815773234,,0
0.913221057,,12774258799
0.8395318462,,8.62E+11
0.3511186454,,1.70E+12
0.6234410464,,6.34E+12
0.6556382476,,42743441681
0.590768403,,0
0.9591990919,,1.28E+11
