id_colums,area id
"1,3",1
"4,7",2
"4,5",2
"4,7",2
"5,7",2
"4,5",2
"4,7",2
"5,7",2
"5,7",2
"4,5",2
"4,7",2
"5,7",2
"1,4",2
"1,7",2
"1,4",2
"1,5",2
"1,7",2
"4,5",2
"4,7",2
"5,7",2
"1,4",2
"1,7",2
"4,5",2
"4,7",2
"5,7",2
"1,7",2  3
"1,4",2
"1,7",2
"4,7",2
"1,4",2
"1,7",2
"4,7",2
"1,7",2
"3,8",1
"6,8",1
"0,6",1
"1,7",2
"1,8",2
"7,8",2
"1,4",2
"1,4",2
"1,7",2
"1,8",2
"4,7",2
"4,8",2
"7,8",2
"1,4",2
"1,7",2
"1,8",2
"4,7",2
"4,8",2
"7,8",2
"1,8",2
"1,7",2
"4,7",2
"1,7",2
"4,7",2
"1,7",2
"1,4",2
"1,7",2
"0,6",1
"1,7",2
"0,7",3
"0,4",2
"0,7",2
"4,7",2
"5,6",1
"0,4",2
"0,7",2
"0,4",2  4
"0,4",2
"0,7",2
"0,4",2
"0,7",2
"4,7",2  4
"0,4",2
"0,1",2
"0,1",2
"0,4",2
"1,4",2
"0,1",2
"0,4",2
"0,59",2
"1,4",2
"1,59",2
"4,59",2
"59,87",2
"0,1",2
"0,59",2
"8,59",2
"0,1",2
"0,17",2
"0,4",2
"0,59",2
"0,8",2
"1,4",2
"1,59",2
"1,8",2
"4,17",2
"4,8",2
"8,17",2
"0,1",2
"0,17",4
"0,4",2
"0,8",2
"1,17",2
"1,4",2
"1,8",2
"4,8",2
"8,17",2
"0,1",2
"0,1",2
"0,17",2
"0,4",2
"0,8",2
"1,17",2
"1,4",2
"1,8",2
"4,8",2
"8,17",2
"0,4",2
"0,8",2
"4,8",2
"0,1",2
"0,4",2
"0,8",2
"1,17",2
"1,4",2
"1,8",2
"4,8",2
"0,4",2
"0,8",2
"4,8",2
"8,17",2
"1,8",2
"0,4",2
"0,8",2
"4,8",2
"0,1",2
"0,17",2
"0,4",2
"0,59",2
"0,8",2
"1,17",2
"1,4",2
"1,59",2
"1,8",2
"4,17",2
"4,59",2
"4,8",2
"8,59",2
"0,1",2  4
"0,17",2
"0,4",2
"0,59",2
"0,8",2
"1,17",2
"1,2",2
"1,4",2
"1,59",2
"1,8",2
"17,59",2
"2,59",2
"4,17",2
"4,8",2
"8,17",2  4
"8,59",2
"2,17",2
"2,59",2
"2,17",2
"0,2",2
"0,59",2
"1,2",2
"1,4",2
"2,4",2
"2,59",2
"0,1",2
"0,4",4
"1,2",2
"1,59",2
"4,17",4
"2,59",2
"4,17",4
"0,17",4
"0,2",2
"0,59",2
"0,8",2
"2,59",2
"2,8",2
"8,17",2
"8,59",2
"0,17",4
"0,2",2
"1,59",2
"1,8",2
"2,59",2
"2,8",2
"8,17",5
"8,59",2
"1,8",2
"17,59",2
"2,59",2
"8,59",2
"0,2",2
"0,8",4
"2,59",2
"0,1",2
"0,2",2
"0,59",2
"0,8",2
"1,2",2
"1,59",2
"1,8",2
"2,17",2
"2,59",2
"2,8",2
"8,59",2
"0,1",2  5
"0,17",2  5
"0,2",2  5
"0,8",5
"0,89",5
"1,17",2  5
"17,89",5
"2,17",2  5
"2,8",5
"2,89",2  5
"8,17",5
"8,89",5
"1,17",2
"2,17",2
"2,89",2
"8,17",5
"0,2",2
"2,17",2
"0,1",2
"0,2",2
"0,8",2
"0,89",2
"1,2",2
"1,8",2
"1,89",2
"2,8",2
"2,89",2
"0,1",2
"0,2",2
"0,8",2
"0,89",2
"1,2",2
"1,59",2
"1,8",2
"1,89",2
"2,8",2
"2,89",2
"8,89",2
"0,2",2
"0,8",2
"1,17",2
"2,8",2
"0,2",2
"0,1",2
"0,2",2
"0,8",2
"0,89",2
"1,2",2
"1,89",2
"2,8",2
"2,89",2
"8,17",2
"8,89",2
"0,1",2
"0,2",2
"0,8",2  4
"0,89",2
"1,2",2
"1,8",2
"1,89",2
"2,8",2
"2,89",2
"8,89",2
"0,8",4
"0,89",4
"1,89",2
"8,89",4
"0,1",2
"0,59",2
"0,8",2
"1,17",2
"1,59",2
"1,8",2
"8,59",2
"0,1",2
"0,17",4
"0,18",2
"0,2",2
"0,59",2
"0,8",2  4
"1,18",2
"1,2",2
"1,59",2
"1,8",2
"10,18",2
"17,18",2
"2,18",2
"2,8",2
"8,10",2
"8,17",4
"8,18",2
"8,59",2
"0,17",2  4
"0,8",4
"1,18",2
"10,17",2
"17,18",2
"8,17",4
"8,18",4
"10,17",2
"18,89",2
"0,1",2
"0,10",2
"0,17",2  4  6  7
"0,18",2
"0,8",2
"0,89",2
"1,18",2
"1,8",2
"1,89",2
"10,18",2
"18,89",2
"8,10",2
"8,17",2
"8,18",2
"8,89",2
"0,17",8  9  7
"1,18",2
"1,8",2
"8,18",2
"1,18",2
"0,17",9
"0,17",4  6  7  8  9
"1,18",2
"2,8",10
"1,17",2
"1,18",2
"2,8",11
"0,1",2  4
"1,10",2
"1,18",2
"0,1",2
"0,17",2
"17,18",4
"0,1",2
"0,17",2
"0,18",2
"1,17",4
"10,17",2
"4,18",2
"0,10",2
"0,18",2
"0,10",2
"0,17",4
"0,18",2
"0,4",2
"0,8",2
"0,89",2
"10,17",2
"10,18",2
"10,89",2
"18,89",2
"4,10",2  4
"4,18",2
"4,8",2
"4,89",2
"8,18",2
"8,89",2
"0,18",2
"0,4",2
"0,7",2
"0,8",2
"0,89",2
"18,89",2
"2,10",2  3  5  12  13
"4,18",2
"4,8",2
"4,89",2
"7,18",2
"7,89",2
"8,10",2
"8,18",2
"8,89",2
"0,7",2
"10,17",2
"18,89",2
"4,89",2
"7,18",2
"7,89",2
"0,10",2
"10,17",2
"0,18",2
"0,2",2
"0,8",2
"18,89",2
"2,17",4
"2,18",2
"2,4",2
"2,8",2
"2,89",2
"4,18",2
"4,89",2
"8,18",2
"0,18",2
"0,2",2
"0,4",2
"0,8",2
"0,89",2
"18,89",2
"2,18",2
"2,4",2
"2,8",2
"2,89",2
"4,18",2
"4,8",2
"4,89",2
"7,8",2
"8,18",2
"8,89",2
"0,89",2
"2,8",2
"2,89",2
"4,18",2
"4,7",2
"4,8",2
"8,18",2
"2,8",2
"0,13",2
"0,17",2
"0,8",2
"0,89",2
"11,13",2
"11,87",2
"11,89",2
"13,17",2
"13,89",2
"2,11",2
"2,13",2
"2,8",2
"3,6",1
"4,8",2
"8,11",2
"8,13",2
"8,17",2
"0,11",2
"0,13",2
"0,2",2
"0,4",2
"0,7",2
"0,8",2
"0,89",2
"11,13",2
"11,17",2
"11,89",2
"12,14",1
"13,89",2
"14,16",1
"2,13",2
"2,4",2
"2,7",2
"2,8",2
"3,14",1
"3,16",1
"4,11",4
"4,13",2
"4,7",2
"4,8",2
"4,89",2  4
"5,14",1
"7,13",2
"7,8",2
"7,89",2
"8,13",2
"8,17",2
"8,89",2
"2,89",2
"0,2",2
"0,8",4
"1,18",2
"1,2",2
"2,18",2
"0,1",2
"0,13",2
"0,15",2
"0,17",2
"0,18",2
"0,2",2
"0,7",2
"0,8",2
"1,13",2
"1,15",2
"1,17",2
"1,18",2
"1,2",2
"1,7",2
"1,8",2
"13,15",2
"13,17",2
"13,18",2
"17,18",2
"2,13",2
"2,17",2
"2,18",2
"2,7",2
"2,8",2
"3,12",1
"7,13",2
"7,15",2
"7,17",2
"7,18",2
"7,8",2
"8,13",2
"8,15",2
"8,17",2
"8,18",2
"0,1",2
"0,13",2
"0,17",2
"0,18",2
"0,2",2
"0,4",2
"0,7",2
"0,8",2
"0,89",2
"1,13",2
"1,17",2
"1,18",2
"1,2",2
"1,4",2
"1,7",2
"1,8",2
"1,89",2
"10,18",2
"13,17",2
"13,18",2
"17,18",2
"17,89",2
"18,89",2
"2,13",2
"2,17",2
"2,18",2
"2,4",2
"2,7",2
"2,8",2
"2,89",2
"4,17",2
"4,8",2
"4,89",2
"7,13",2
"7,17",2
"7,18",2
"7,8",2
"7,89",2
"8,17",2
"8,18",2
"8,89",2
"0,17",4
"0,8",4
"1,8",2
"1,89",2
"18,89",2
"8,17",4
"8,89",2
"0,15",2
"0,7",2
"1,7",3
"2,18",2
"2,7",2
"7,13",2
"7,15",2
"7,18",2
"0,1",2
"0,13",2
"0,15",2
"0,17",2
"0,18",2
"0,2",2
"0,7",2
"0,8",2
"1,10",2
"1,13",2
"1,15",2
"1,17",2  4
"1,18",2
"1,2",2
"1,7",2
"1,8",2
"13,15",2  4
"13,17",2
"13,18",2
"15,17",2
"15,18",2
"17,18",2
"2,13",2
"2,15",2
"2,17",2
"2,18",2  4
"2,7",2
"2,8",2
"7,10",2
"7,13",2
"7,15",2
"7,17",2
"7,18",2
"7,8",2
"8,10",2
"8,13",2
"8,15",2
"8,18",2
"8,89",2
"0,1",2
"0,13",2
"0,15",2  3
"0,17",2
"1,13",2
"1,15",2
"1,17",2
"1,18",2
"13,18",2
"15,17",2
"7,17",2
"8,89",2
"1,10",2
"1,89",2
"0,13",2
"1,10",2
"10,89",2
"1,18",2
"1,4",2
"1,8",2
"13,18",2
"18,89",2
"8,13",2
"8,18",2
"8,89",2
"0,1",2
"0,13",2
"0,18",2
"0,4",2
"1,13",2
"1,15",2
"1,18",2
"1,8",2
"1,89",2
"13,15",2
"13,18",2
"13,89",2
"15,18",2
"15,89",2
"18,89",2
"4,13",2
"4,89",2
"7,8",2
"8,13",2
"8,15",2
"8,18",2
"8,89",2
"0,18",3
"0,4",2  4  14
"0,7",3
"0,89",2
"15,18",3
"4,89",2
"7,18",3
"0,13",2
"0,18",2
"0,8",2
"13,18",2
"7,8",3
"8,13",2
"8,18",2
"0,18",2
"0,8",2
"0,89",2
"13,18",2
"7,10",2
"7,18",2
"8,13",2
"8,18",2
"0,8",4
"0,89",2
"8,89",2
"0,10",2
"0,15",2
"0,18",2
"10,13",2
"10,15",2
"10,18",2
"13,15",2
"13,18",2
"15,18",2
"18,89",2
"0,10",2
"0,13",2
"0,15",2
"0,18",2
