id,total
"1,3",2.0
"4,7",4.0
"4,5",4.0
"4,7",4.0
"5,7",4.0
"4,5",4.0
"4,7",4.0
"5,7",4.0
"5,7",4.0
"4,5",4.0
"4,7",4.0
"5,7",4.0
"1,4",4.0
"1,7",4.0
"1,4",4.0
"1,5",4.0
"1,7",4.0
"4,5",4.0
"4,7",4.0
"5,7",4.0
"1,4",4.0
"1,7",4.0
"4,5",4.0
"4,7",4.0
"5,7",4.0
"1,7",12.0
"1,4",4.0
"1,7",4.0
"4,7",4.0
"1,4",4.0
"1,7",4.0
"4,7",4.0
"1,7",4.0
"3,8",2.0
"6,8",2.0
"0,6",2.0
"1,7",4.0
"1,8",4.0
"7,8",4.0
"1,4",4.0
"1,4",4.0
"1,7",4.0
"1,8",4.0
"4,7",4.0
"4,8",4.0
"7,8",4.0
"1,4",4.0
"1,7",4.0
"1,8",4.0
"4,7",4.0
"4,8",4.0
"7,8",4.0
"1,8",4.0
"1,7",4.0
"4,7",4.0
"1,7",4.0
"4,7",4.0
"1,7",4.0
"1,4",4.0
"1,7",4.0
"0,6",2.0
"1,7",4.0
"0,7",8.0
"0,4",4.0
"0,7",4.0
"4,7",4.0
"5,6",2.0
"0,4",4.0
"0,7",4.0
"0,4",20.0
"0,4",4.0
"0,7",4.0
"0,4",4.0
"0,7",4.0
"4,7",20.0
"0,4",4.0
"0,1",4.0
"0,1",4.0
"0,4",4.0
"1,4",4.0
"0,1",4.0
"0,4",4.0
"0,59",4.0
"1,4",4.0
"1,59",4.0
"4,59",4.0
"59,87",4.0
"0,1",4.0
"0,59",4.0
"8,59",4.0
"0,1",4.0
"0,17",4.0
"0,4",4.0
"0,59",4.0
"0,8",4.0
"1,4",4.0
"1,59",4.0
"1,8",4.0
"4,17",4.0
"4,8",4.0
"8,17",4.0
"0,1",4.0
"0,17",16.0
"0,4",4.0
"0,8",4.0
"1,17",4.0
"1,4",4.0
"1,8",4.0
"4,8",4.0
"8,17",4.0
"0,1",4.0
"0,1",4.0
"0,17",4.0
"0,4",4.0
"0,8",4.0
"1,17",4.0
"1,4",4.0
"1,8",4.0
"4,8",4.0
"8,17",4.0
"0,4",4.0
"0,8",4.0
"4,8",4.0
"0,1",4.0
"0,4",4.0
"0,8",4.0
"1,17",4.0
"1,4",4.0
"1,8",4.0
"4,8",4.0
"0,4",4.0
"0,8",4.0
"4,8",4.0
"8,17",4.0
"1,8",4.0
"0,4",4.0
"0,8",4.0
"4,8",4.0
"0,1",4.0
"0,17",4.0
"0,4",4.0
"0,59",4.0
"0,8",4.0
"1,17",4.0
"1,4",4.0
"1,59",4.0
"1,8",4.0
"4,17",4.0
"4,59",4.0
"4,8",4.0
"8,59",4.0
"0,1",20.0
"0,17",4.0
"0,4",4.0
"0,59",4.0
"0,8",4.0
"1,17",4.0
"1,2",4.0
"1,4",4.0
"1,59",4.0
"1,8",4.0
"17,59",4.0
"2,59",4.0
"4,17",4.0
"4,8",4.0
"8,17",20.0
"8,59",4.0
"2,17",4.0
"2,59",4.0
"2,17",4.0
"0,2",4.0
"0,59",4.0
"1,2",4.0
"1,4",4.0
"2,4",4.0
"2,59",4.0
"0,1",4.0
"0,4",16.0
"1,2",4.0
"1,59",4.0
"4,17",16.0
"2,59",4.0
"4,17",16.0
"0,17",16.0
"0,2",4.0
"0,59",4.0
"0,8",4.0
"2,59",4.0
"2,8",4.0
"8,17",4.0
"8,59",4.0
"0,17",16.0
"0,2",4.0
"1,59",4.0
"1,8",4.0
"2,59",4.0
"2,8",4.0
"8,17",32.0
"8,59",4.0
"1,8",4.0
"17,59",4.0
"2,59",4.0
"8,59",4.0
"0,2",4.0
"0,8",16.0
"2,59",4.0
"0,1",4.0
"0,2",4.0
"0,59",4.0
"0,8",4.0
"1,2",4.0
"1,59",4.0
"1,8",4.0
"2,17",4.0
"2,59",4.0
"2,8",4.0
"8,59",4.0
"0,1",36.0
"0,17",36.0
"0,2",36.0
"0,8",32.0
"0,89",32.0
"1,17",36.0
"17,89",32.0
"2,17",36.0
"2,8",32.0
"2,89",36.0
"8,17",32.0
"8,89",32.0
"1,17",4.0
"2,17",4.0
"2,89",4.0
"8,17",32.0
"0,2",4.0
"2,17",4.0
"0,1",4.0
"0,2",4.0
"0,8",4.0
"0,89",4.0
"1,2",4.0
"1,8",4.0
"1,89",4.0
"2,8",4.0
"2,89",4.0
"0,1",4.0
"0,2",4.0
"0,8",4.0
"0,89",4.0
"1,2",4.0
"1,59",4.0
"1,8",4.0
"1,89",4.0
"2,8",4.0
"2,89",4.0
"8,89",4.0
"0,2",4.0
"0,8",4.0
"1,17",4.0
"2,8",4.0
"0,2",4.0
"0,1",4.0
"0,2",4.0
"0,8",4.0
"0,89",4.0
"1,2",4.0
"1,89",4.0
"2,8",4.0
"2,89",4.0
"8,17",4.0
"8,89",4.0
"0,1",4.0
"0,2",4.0
"0,8",20.0
"0,89",4.0
"1,2",4.0
"1,8",4.0
"1,89",4.0
"2,8",4.0
"2,89",4.0
"8,89",4.0
"0,8",16.0
"0,89",16.0
"1,89",4.0
"8,89",16.0
"0,1",4.0
"0,59",4.0
"0,8",4.0
"1,17",4.0
"1,59",4.0
"1,8",4.0
"8,59",4.0
"0,1",4.0
"0,17",16.0
"0,18",4.0
"0,2",4.0
"0,59",4.0
"0,8",20.0
"1,18",4.0
"1,2",4.0
"1,59",4.0
"1,8",4.0
"10,18",4.0
"17,18",4.0
"2,18",4.0
"2,8",4.0
"8,10",4.0
"8,17",16.0
"8,18",4.0
"8,59",4.0
"0,17",20.0
"0,8",16.0
"1,18",4.0
"10,17",4.0
"17,18",4.0
"8,17",16.0
"8,18",16.0
"10,17",4.0
"18,89",4.0
"0,1",4.0
"0,10",4.0
"0,17",212.0
"0,18",4.0
"0,8",4.0
"0,89",4.0
"1,18",4.0
"1,8",4.0
"1,89",4.0
"10,18",4.0
"18,89",4.0
"8,10",4.0
"8,17",4.0
"8,18",4.0
"8,89",4.0
"0,17",896.0
"1,18",4.0
"1,8",4.0
"8,18",4.0
"1,18",4.0
"0,17",512.0
"0,17",976.0
"1,18",4.0
"2,8",1024.0
"1,17",4.0
"1,18",4.0
"2,8",2048.0
"0,1",20.0
"1,10",4.0
"1,18",4.0
"0,1",4.0
"0,17",4.0
"17,18",16.0
"0,1",4.0
"0,17",4.0
"0,18",4.0
"1,17",16.0
"10,17",4.0
"4,18",4.0
"0,10",4.0
"0,18",4.0
"0,10",4.0
"0,17",16.0
"0,18",4.0
"0,4",4.0
"0,8",4.0
"0,89",4.0
"10,17",4.0
"10,18",4.0
"10,89",4.0
"18,89",4.0
"4,10",20.0
"4,18",4.0
"4,8",4.0
"4,89",4.0
"8,18",4.0
"8,89",4.0
"0,18",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"18,89",4.0
"2,10",12332.0
"4,18",4.0
"4,8",4.0
"4,89",4.0
"7,18",4.0
"7,89",4.0
"8,10",4.0
"8,18",4.0
"8,89",4.0
"0,7",4.0
"10,17",4.0
"18,89",4.0
"4,89",4.0
"7,18",4.0
"7,89",4.0
"0,10",4.0
"10,17",4.0
"0,18",4.0
"0,2",4.0
"0,8",4.0
"18,89",4.0
"2,17",16.0
"2,18",4.0
"2,4",4.0
"2,8",4.0
"2,89",4.0
"4,18",4.0
"4,89",4.0
"8,18",4.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,8",4.0
"0,89",4.0
"18,89",4.0
"2,18",4.0
"2,4",4.0
"2,8",4.0
"2,89",4.0
"4,18",4.0
"4,8",4.0
"4,89",4.0
"7,8",4.0
"8,18",4.0
"8,89",4.0
"0,89",4.0
"2,8",4.0
"2,89",4.0
"4,18",4.0
"4,7",4.0
"4,8",4.0
"8,18",4.0
"2,8",4.0
"0,13",4.0
"0,17",4.0
"0,8",4.0
"0,89",4.0
"11,13",4.0
"11,87",4.0
"11,89",4.0
"13,17",4.0
"13,89",4.0
"2,11",4.0
"2,13",4.0
"2,8",4.0
"3,6",2.0
"4,8",4.0
"8,11",4.0
"8,13",4.0
"8,17",4.0
"0,11",4.0
"0,13",4.0
"0,2",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"11,13",4.0
"11,17",4.0
"11,89",4.0
"12,14",2.0
"13,89",4.0
"14,16",2.0
"2,13",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"3,14",2.0
"3,16",2.0
"4,11",16.0
"4,13",4.0
"4,7",4.0
"4,8",4.0
"4,89",20.0
"5,14",2.0
"7,13",4.0
"7,8",4.0
"7,89",4.0
"8,13",4.0
"8,17",4.0
"8,89",4.0
"2,89",4.0
"0,2",4.0
"0,8",16.0
"1,18",4.0
"1,2",4.0
"2,18",4.0
"0,1",4.0
"0,13",4.0
"0,15",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,7",4.0
"0,8",4.0
"1,13",4.0
"1,15",4.0
"1,17",4.0
"1,18",4.0
"1,2",4.0
"1,7",4.0
"1,8",4.0
"13,15",4.0
"13,17",4.0
"13,18",4.0
"17,18",4.0
"2,13",4.0
"2,17",4.0
"2,18",4.0
"2,7",4.0
"2,8",4.0
"3,12",2.0
"7,13",4.0
"7,15",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"8,13",4.0
"8,15",4.0
"8,17",4.0
"8,18",4.0
"0,1",4.0
"0,13",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"1,13",4.0
"1,17",4.0
"1,18",4.0
"1,2",4.0
"1,4",4.0
"1,7",4.0
"1,8",4.0
"1,89",4.0
"10,18",4.0
"13,17",4.0
"13,18",4.0
"17,18",4.0
"17,89",4.0
"18,89",4.0
"2,13",4.0
"2,17",4.0
"2,18",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"4,17",4.0
"4,8",4.0
"4,89",4.0
"7,13",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"7,89",4.0
"8,17",4.0
"8,18",4.0
"8,89",4.0
"0,17",16.0
"0,8",16.0
"1,8",4.0
"1,89",4.0
"18,89",4.0
"8,17",16.0
"8,89",4.0
"0,15",4.0
"0,7",4.0
"1,7",8.0
"2,18",4.0
"2,7",4.0
"7,13",4.0
"7,15",4.0
"7,18",4.0
"0,1",4.0
"0,13",4.0
"0,15",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,7",4.0
"0,8",4.0
"1,10",4.0
"1,13",4.0
"1,15",4.0
"1,17",20.0
"1,18",4.0
"1,2",4.0
"1,7",4.0
"1,8",4.0
"13,15",20.0
"13,17",4.0
"13,18",4.0
"15,17",4.0
"15,18",4.0
"17,18",4.0
"2,13",4.0
"2,15",4.0
"2,17",4.0
"2,18",20.0
"2,7",4.0
"2,8",4.0
"7,10",4.0
"7,13",4.0
"7,15",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,89",4.0
"0,1",4.0
"0,13",4.0
"0,15",12.0
"0,17",4.0
"1,13",4.0
"1,15",4.0
"1,17",4.0
"1,18",4.0
"13,18",4.0
"15,17",4.0
"7,17",4.0
"8,89",4.0
"1,10",4.0
"1,89",4.0
"0,13",4.0
"1,10",4.0
"10,89",4.0
"1,18",4.0
